old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_5[0],Form1099-LTC[0].CopyB[0].LeftCol[0].f1_5[0],form1099_ltc_0_copy_b_0_left_col_0_f1_5_0,text,1,"[52.400, 623.999, 294.200, 649.999]"
f1_6[0],Form1099-LTC[0].CopyB[0].LeftCol[0].f1_6[0],form1099_ltc_0_copy_b_0_left_col_0_f1_6_0,text,1,"[52.400, 599.998, 294.200, 613.999]"
f1_7[0],Form1099-LTC[0].CopyB[0].LeftCol[0].f1_7[0],form1099_ltc_0_copy_b_0_left_col_0_f1_7_0,text,1,"[52.400, 576.000, 294.200, 590.001]"
f1_8[0],Form1099-LTC[0].CopyB[0].LeftCol[0].f1_8[0],form1099_ltc_0_copy_b_0_left_col_0_f1_8_0,text,1,"[50.400, 551.999, 216.000, 566.000]"
c1_2[0],Form1099-LTC[0].CopyB[0].RightCol[0].c1_2[0],form1099_ltc_0_copy_b_0_right_col_0_c1_2_0,checkbox,1,"[302.400, 652.000, 310.400, 660.000]"
c1_2[1],Form1099-LTC[0].CopyB[0].RightCol[0].c1_2[1],form1099_ltc_0_copy_b_0_right_col_0_c1_2_1,checkbox,1,"[338.400, 652.000, 346.400, 660.000]"
c1_3[0],Form1099-LTC[0].CopyB[0].RightCol[0].c1_3[0],form1099_ltc_0_copy_b_0_right_col_0_c1_3_0,checkbox,1,"[223.200, 554.002, 233.200, 564.002]"
c1_4[0],Form1099-LTC[0].CopyB[0].RightCol[0].c1_4[0],form1099_ltc_0_copy_b_0_right_col_0_c1_4_0,checkbox,1,"[381.600, 566.001, 389.600, 574.001]"
c1_5[0],Form1099-LTC[0].CopyB[0].RightCol[0].c1_5[0],form1099_ltc_0_copy_b_0_right_col_0_c1_5_0,checkbox,1,"[381.600, 554.002, 389.600, 562.002]"
f1_9[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_9[0],form1099_ltc_0_copy_b_0_right_col_0_f1_9_0,text,1,"[309.600, 708.001, 395.000, 720.000]"
f1_10[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_10[0],form1099_ltc_0_copy_b_0_right_col_0_f1_10_0,text,1,"[309.600, 672.001, 395.000, 684.000]"
f1_11[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_11[0],form1099_ltc_0_copy_b_0_right_col_0_f1_11_0,text,1,"[396.000, 648.000, 496.800, 674.000]"
f1_12[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_12[0],form1099_ltc_0_copy_b_0_right_col_0_f1_12_0,text,1,"[297.200, 623.999, 495.800, 638.000]"
f1_13[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_13[0],form1099_ltc_0_copy_b_0_right_col_0_f1_13_0,text,1,"[297.200, 599.998, 495.800, 613.999]"
f1_14[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_14[0],form1099_ltc_0_copy_b_0_right_col_0_f1_14_0,text,1,"[297.200, 576.000, 495.800, 590.001]"
f1_15[0],Form1099-LTC[0].CopyB[0].RightCol[0].f1_15[0],form1099_ltc_0_copy_b_0_right_col_0_f1_15_0,text,1,"[439.200, 551.999, 496.800, 566.000]"
c1_1[0],Form1099-LTC[0].CopyC[0].CopyHeader[0].c1_1[0],form1099_ltc_0_copy_c_0_copy_header_0_c1_1_0,checkbox,3,"[244.800, 757.000, 254.800, 767.000]"
f1_1[0],Form1099-LTC[0].CopyC[0].CopyHeader[0].CalendarYear[0].f1_1[0],form1099_ltc_0_copy_c_0_copy_header_0_calendar_year_0_f1_1_0,text,3,"[417.600, 687.000, 446.400, 695.999]"
f1_2[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_2[0],form1099_ltc_0_copy_c_0_left_col_0_f1_2_0,text,3,"[52.400, 684.000, 294.200, 731.999]"
f1_3[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_3[0],form1099_ltc_0_copy_c_0_left_col_0_f1_3_0,text,3,"[50.400, 659.999, 172.800, 674.000]"
f1_4[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_4[0],form1099_ltc_0_copy_c_0_left_col_0_f1_4_0,text,3,"[172.800, 659.999, 295.200, 674.000]"
f1_5[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_5[0],form1099_ltc_0_copy_c_0_left_col_0_f1_5_0,text,3,"[52.400, 623.999, 294.200, 649.999]"
f1_6[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_6[0],form1099_ltc_0_copy_c_0_left_col_0_f1_6_0,text,3,"[52.400, 599.998, 294.200, 613.999]"
f1_7[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_7[0],form1099_ltc_0_copy_c_0_left_col_0_f1_7_0,text,3,"[52.400, 576.000, 294.200, 590.001]"
f1_8[0],Form1099-LTC[0].CopyC[0].LeftCol[0].f1_8[0],form1099_ltc_0_copy_c_0_left_col_0_f1_8_0,text,3,"[50.400, 551.999, 216.000, 566.000]"
c1_2[0],Form1099-LTC[0].CopyC[0].RightCol[0].c1_2[0],form1099_ltc_0_copy_c_0_right_col_0_c1_2_0,checkbox,3,"[302.400, 652.000, 310.400, 660.000]"
c1_2[1],Form1099-LTC[0].CopyC[0].RightCol[0].c1_2[1],form1099_ltc_0_copy_c_0_right_col_0_c1_2_1,checkbox,3,"[338.400, 652.000, 346.400, 660.000]"
c1_3[0],Form1099-LTC[0].CopyC[0].RightCol[0].c1_3[0],form1099_ltc_0_copy_c_0_right_col_0_c1_3_0,checkbox,3,"[223.200, 554.002, 233.200, 564.002]"
c1_4[0],Form1099-LTC[0].CopyC[0].RightCol[0].c1_4[0],form1099_ltc_0_copy_c_0_right_col_0_c1_4_0,checkbox,3,"[381.600, 566.001, 389.600, 574.001]"
c1_5[0],Form1099-LTC[0].CopyC[0].RightCol[0].c1_5[0],form1099_ltc_0_copy_c_0_right_col_0_c1_5_0,checkbox,3,"[381.600, 554.002, 389.600, 562.002]"
f1_9[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_9[0],form1099_ltc_0_copy_c_0_right_col_0_f1_9_0,text,3,"[309.600, 708.001, 395.000, 720.000]"
f1_10[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_10[0],form1099_ltc_0_copy_c_0_right_col_0_f1_10_0,text,3,"[309.600, 672.001, 395.000, 684.000]"
f1_11[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_11[0],form1099_ltc_0_copy_c_0_right_col_0_f1_11_0,text,3,"[396.000, 648.000, 496.800, 674.000]"
f1_12[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_12[0],form1099_ltc_0_copy_c_0_right_col_0_f1_12_0,text,3,"[297.200, 623.999, 495.800, 638.000]"
f1_13[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_13[0],form1099_ltc_0_copy_c_0_right_col_0_f1_13_0,text,3,"[297.200, 599.998, 495.800, 613.999]"
f1_14[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_14[0],form1099_ltc_0_copy_c_0_right_col_0_f1_14_0,text,3,"[297.200, 576.000, 495.800, 590.001]"
f1_15[0],Form1099-LTC[0].CopyC[0].RightCol[0].f1_15[0],form1099_ltc_0_copy_c_0_right_col_0_f1_15_0,text,3,"[439.200, 551.999, 496.800, 566.000]"
