old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_16[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_16[0],copy2_0_col_right_0_f1_16_0,text,5,"[296.200, 612.000, 395.000, 636.000]"
f1_17[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_17[0],copy2_0_col_right_0_f1_17_0,text,5,"[397.000, 612.000, 495.800, 636.000]"
f1_18[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_18[0],copy2_0_col_right_0_f1_18_0,text,5,"[296.200, 576.000, 395.000, 600.000]"
f1_19[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_19[0],copy2_0_col_right_0_f1_19_0,text,5,"[397.000, 576.000, 495.800, 600.000]"
f1_20[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_20[0],copy2_0_col_right_0_f1_20_0,text,5,"[296.200, 540.000, 395.000, 564.000]"
f1_21[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_21[0],copy2_0_col_right_0_f1_21_0,text,5,"[408.000, 540.000, 495.800, 551.999]"
f1_23[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_23[0],copy2_0_col_right_0_f1_23_0,text,5,"[408.000, 504.000, 495.800, 515.999]"
f1_25[0],topmostSubform[0].Copy2[0].Col_Right[0].f1_25[0],copy2_0_col_right_0_f1_25_0,text,5,"[397.000, 468.000, 495.800, 492.000]"
c1_1[0],topmostSubform[0].Copy2[0].Copy2Header[0].c1_1[0],copy2_0_copy2_header_0_c1_1_0,checkbox,5,"[244.800, 758.000, 253.800, 767.000]"
f1_01[0],topmostSubform[0].Copy2[0].Copy2Header[0].f1_01[0],copy2_0_copy2_header_0_f1_01_0,text,5,"[545.600, 663.002, 565.800, 672.001]"
f1_02[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_02[0],copy_a_0_col_left_0_f1_02_0,text,0,"[52.400, 659.999, 294.200, 736.000]"
f1_03[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_03[0],copy_a_0_col_left_0_f1_03_0,text,0,"[52.400, 612.000, 171.800, 647.999]"
f1_04[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_04[0],copy_a_0_col_left_0_f1_04_0,text,0,"[173.800, 612.000, 294.200, 647.999]"
f1_05[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_05[0],copy_a_0_col_left_0_f1_05_0,text,0,"[52.400, 576.000, 294.200, 600.000]"
f1_06[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_06[0],copy_a_0_col_left_0_f1_06_0,text,0,"[52.400, 540.000, 294.200, 564.000]"
f1_07[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_07[0],copy_a_0_col_left_0_f1_07_0,text,0,"[52.400, 504.000, 294.200, 528.000]"
f1_08[0],topmostSubform[0].CopyA[0].Col_Right[0].Box1[0].f1_08[0],copy_a_0_col_right_0_box1_0_f1_08_0,text,0,"[307.200, 720.000, 395.000, 731.999]"
f1_14[0],topmostSubform[0].CopyA[0].Col_Right[0].Box7[0].f1_14[0],copy_a_0_col_right_0_box7_0_f1_14_0,text,0,"[307.200, 648.000, 395.000, 659.999]"
f1_22[0],topmostSubform[0].CopyA[0].Col_Right[0].Box15[0].f1_22[0],copy_a_0_col_right_0_box15_0_f1_22_0,text,0,"[307.200, 504.000, 395.000, 515.999]"
f1_24[0],topmostSubform[0].CopyA[0].Col_Right[0].Box17[0].f1_24[0],copy_a_0_col_right_0_box17_0_f1_24_0,text,0,"[307.200, 468.000, 395.000, 479.999]"
f1_09[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_09[0],copy_a_0_col_right_0_f1_09_0,text,0,"[397.000, 720.000, 495.800, 744.000]"
