old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f2_29[0],topmostSubform[0].CopyB[0].Boxes15_ReadOrder[0].Box15_ReadOrder[0].f2_29[0],copy_b_0_boxes15_read_order_0_box15_read_order_0_f2_29_0,text,3,"[38.000,480.002,63.800,492.001]"
f2_30[0],topmostSubform[0].CopyB[0].Boxes15_ReadOrder[0].f2_30[0],copy_b_0_boxes15_read_order_0_f2_30_0,text,3,"[65.800,480.002,193.400,492.001]"
f2_31[0],topmostSubform[0].CopyB[0].Boxes15_ReadOrder[0].f2_31[0],copy_b_0_boxes15_read_order_0_f2_31_0,text,3,"[38.000,455.998,63.800,467.999]"
f2_32[0],topmostSubform[0].CopyB[0].Boxes15_ReadOrder[0].f2_32[0],copy_b_0_boxes15_read_order_0_f2_32_0,text,3,"[65.800,456.001,193.400,468.000]"
f2_02[0],topmostSubform[0].CopyB[0].Col_Left[0].f2_02[0],copy_b_0_col_left_0_f2_02_0,text,3,"[38.000,708.001,330.200,720.000]"
f2_03[0],topmostSubform[0].CopyB[0].Col_Left[0].f2_03[0],copy_b_0_col_left_0_f2_03_0,text,3,"[38.000,635.998,330.200,695.999]"
f2_04[0],topmostSubform[0].CopyB[0].Col_Left[0].f2_04[0],copy_b_0_col_left_0_f2_04_0,text,3,"[38.000,612.000,330.200,623.999]"
f2_07[0],topmostSubform[0].CopyB[0].Col_Left[0].f2_07[0],copy_b_0_col_left_0_f2_07_0,text,3,"[310.600,588.002,330.200,600.001]"
f2_08[0],topmostSubform[0].CopyB[0].Col_Left[0].f2_08[0],copy_b_0_col_left_0_f2_08_0,text,3,"[38.000,515.999,330.200,585.999]"
f2_05[0],topmostSubform[0].CopyB[0].Col_Left[0].FirstName_ReadOrder[0].f2_05[0],copy_b_0_col_left_0_first_name_read_order_0_f2_05_0,text,3,"[38.000,588.002,171.800,600.001]"
f2_06[0],topmostSubform[0].CopyB[0].Col_Left[0].LastName_ReadOrder[0].f2_06[0],copy_b_0_col_left_0_last_name_read_order_0_f2_06_0,text,3,"[173.800,588.002,308.600,600.001]"
f2_09[0],topmostSubform[0].CopyB[0].Col_Right[0].Box1_ReadOrder[0].f2_09[0],copy_b_0_col_right_0_box1_read_order_0_f2_09_0,text,3,"[333.200,708.001,451.600,720.000]"
f2_11[0],topmostSubform[0].CopyB[0].Col_Right[0].Box3_ReadOrder[0].f2_11[0],copy_b_0_col_right_0_box3_read_order_0_f2_11_0,text,3,"[332.200,684.000,452.600,695.999]"
f2_13[0],topmostSubform[0].CopyB[0].Col_Right[0].Box5_ReadOrder[0].f2_13[0],copy_b_0_col_right_0_box5_read_order_0_f2_13_0,text,3,"[332.200,660.002,452.600,672.001]"
f2_15[0],topmostSubform[0].CopyB[0].Col_Right[0].Box7_ReadOrder[0].f2_15[0],copy_b_0_col_right_0_box7_read_order_0_f2_15_0,text,3,"[332.200,636.001,452.600,648.000]"
f2_17[0],topmostSubform[0].CopyB[0].Col_Right[0].Box9_ReadOrder[0].f2_17[0],copy_b_0_col_right_0_box9_read_order_0_f2_17_0,text,3,"[332.200,612.000,452.600,623.999]"
f2_19[0],topmostSubform[0].CopyB[0].Col_Right[0].Box11__ReadOrder[0].f2_19[0],copy_b_0_col_right_0_box11_read_order_0_f2_19_0,text,3,"[332.200,588.002,452.600,600.001]"
f2_20[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_20[0],copy_b_0_col_right_0_box12_read_order_0_f2_20_0,text,3,"[462.800,588.002,488.600,600.001]"
f2_21[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_21[0],copy_b_0_col_right_0_box12_read_order_0_f2_21_0,text,3,"[490.600,588.002,574.000,600.001]"
f2_22[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_22[0],copy_b_0_col_right_0_box12_read_order_0_f2_22_0,text,3,"[462.800,564.001,488.600,576.000]"
f2_23[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_23[0],copy_b_0_col_right_0_box12_read_order_0_f2_23_0,text,3,"[490.600,564.001,574.000,576.000]"
f2_24[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_24[0],copy_b_0_col_right_0_box12_read_order_0_f2_24_0,text,3,"[462.800,540.000,488.600,551.999]"
f2_25[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_25[0],copy_b_0_col_right_0_box12_read_order_0_f2_25_0,text,3,"[490.600,540.000,574.000,551.999]"
f2_26[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_26[0],copy_b_0_col_right_0_box12_read_order_0_f2_26_0,text,3,"[462.800,516.002,488.600,528.001]"
f2_27[0],topmostSubform[0].CopyB[0].Col_Right[0].Box12_ReadOrder[0].f2_27[0],copy_b_0_col_right_0_box12_read_order_0_f2_27_0,text,3,"[490.600,516.002,574.000,528.001]"
c2_4[0],topmostSubform[0].CopyB[0].Col_Right[0].c2_4[0],copy_b_0_col_right_0_c2_4_0,checkbox,3,"[420.600,565.699,430.600,575.699]"
f2_10[0],topmostSubform[0].CopyB[0].Col_Right[0].f2_10[0],copy_b_0_col_right_0_f2_10_0,text,3,"[455.600,708.001,574.000,720.000]"
f2_12[0],topmostSubform[0].CopyB[0].Col_Right[0].f2_12[0],copy_b_0_col_right_0_f2_12_0,text,3,"[454.600,684.000,574.000,695.999]"
f2_14[0],topmostSubform[0].CopyB[0].Col_Right[0].f2_14[0],copy_b_0_col_right_0_f2_14_0,text,3,"[454.600,660.002,574.000,672.001]"
f2_16[0],topmostSubform[0].CopyB[0].Col_Right[0].f2_16[0],copy_b_0_col_right_0_f2_16_0,text,3,"[454.600,636.001,574.000,648.000]"
f2_18[0],topmostSubform[0].CopyB[0].Col_Right[0].f2_18[0],copy_b_0_col_right_0_f2_18_0,text,3,"[454.600,612.000,574.000,623.999]"
f2_28[0],topmostSubform[0].CopyB[0].Col_Right[0].f2_28[0],copy_b_0_col_right_0_f2_28_0,text,3,"[332.200,504.000,452.600,551.999]"
c2_3[0],topmostSubform[0].CopyB[0].Col_Right[0].Retirement_ReadOrder[0].c2_3[0],copy_b_0_col_right_0_retirement_read_order_0_c2_3_0,checkbox,3,"[384.600,565.699,394.600,575.699]"
c2_2[0],topmostSubform[0].CopyB[0].Col_Right[0].Statutory_ReadOrder[0].c2_2[0],copy_b_0_col_right_0_statutory_read_order_0_c2_2_0,checkbox,3,"[348.600,565.699,358.600,575.699]"
f2_41[0],topmostSubform[0].CopyB[0].f2_41[0],copy_b_0_f2_41_0,text,3,"[526.600,480.002,574.000,492.001]"
f2_42[0],topmostSubform[0].CopyB[0].f2_42[0],copy_b_0_f2_42_0,text,3,"[526.600,455.998,574.000,467.999]"
f2_33[0],topmostSubform[0].CopyC[0].Box16_ReadOrder[0].f2_33[0],copy_c_0_box16_read_order_0_f2_33_0,text,5,"[195.400,480.002,279.800,492.001]"
f2_34[0],topmostSubform[0].CopyC[0].Box16_ReadOrder[0].f2_34[0],copy_c_0_box16_read_order_0_f2_34_0,text,5,"[195.400,455.998,279.800,467.999]"
f2_35[0],topmostSubform[0].CopyC[0].Box17_ReadOrder[0].f2_35[0],copy_c_0_box17_read_order_0_f2_35_0,text,5,"[281.800,480.002,359.000,492.001]"
f2_36[0],topmostSubform[0].CopyC[0].Box17_ReadOrder[0].f2_36[0],copy_c_0_box17_read_order_0_f2_36_0,text,5,"[281.800,455.998,359.000,467.999]"
f2_37[0],topmostSubform[0].CopyC[0].Box18_ReadOrder[0].f2_37[0],copy_c_0_box18_read_order_0_f2_37_0,text,5,"[361.000,480.002,445.400,492.001]"
f2_38[0],topmostSubform[0].CopyC[0].Box18_ReadOrder[0].f2_38[0],copy_c_0_box18_read_order_0_f2_38_0,text,5,"[361.000,455.998,445.400,467.999]"
f2_39[0],topmostSubform[0].CopyC[0].Box19_ReadOrder[0].f2_39[0],copy_c_0_box19_read_order_0_f2_39_0,text,5,"[447.400,480.002,524.600,492.001]"
f2_40[0],topmostSubform[0].CopyC[0].Box19_ReadOrder[0].f2_40[0],copy_c_0_box19_read_order_0_f2_40_0,text,5,"[447.400,455.998,524.600,467.999]"
f2_01[0],topmostSubform[0].CopyC[0].BoxA_ReadOrder[0].f2_01[0],copy_c_0_box_a_read_order_0_f2_01_0,text,5,"[153.200,732.002,278.800,744.001]"
f2_29[0],topmostSubform[0].CopyC[0].Boxes15_ReadOrder[0].Box15_ReadOrder[0].f2_29[0],copy_c_0_boxes15_read_order_0_box15_read_order_0_f2_29_0,text,5,"[38.000,480.002,63.800,492.001]"
f2_30[0],topmostSubform[0].CopyC[0].Boxes15_ReadOrder[0].f2_30[0],copy_c_0_boxes15_read_order_0_f2_30_0,text,5,"[65.800,480.002,193.400,492.001]"
f2_31[0],topmostSubform[0].CopyC[0].Boxes15_ReadOrder[0].f2_31[0],copy_c_0_boxes15_read_order_0_f2_31_0,text,5,"[38.000,455.998,63.800,467.999]"
f2_32[0],topmostSubform[0].CopyC[0].Boxes15_ReadOrder[0].f2_32[0],copy_c_0_boxes15_read_order_0_f2_32_0,text,5,"[65.800,456.001,193.400,468.000]"
f2_02[0],topmostSubform[0].CopyC[0].Col_Left[0].f2_02[0],copy_c_0_col_left_0_f2_02_0,text,5,"[38.000,708.001,330.200,720.000]"
f2_03[0],topmostSubform[0].CopyC[0].Col_Left[0].f2_03[0],copy_c_0_col_left_0_f2_03_0,text,5,"[38.000,635.998,330.200,695.999]"
f2_04[0],topmostSubform[0].CopyC[0].Col_Left[0].f2_04[0],copy_c_0_col_left_0_f2_04_0,text,5,"[38.000,612.000,330.200,623.999]"
f2_07[0],topmostSubform[0].CopyC[0].Col_Left[0].f2_07[0],copy_c_0_col_left_0_f2_07_0,text,5,"[310.600,588.002,330.200,600.001]"
f2_08[0],topmostSubform[0].CopyC[0].Col_Left[0].f2_08[0],copy_c_0_col_left_0_f2_08_0,text,5,"[38.000,515.999,330.200,585.999]"
f2_05[0],topmostSubform[0].CopyC[0].Col_Left[0].FirstName_ReadOrder[0].f2_05[0],copy_c_0_col_left_0_first_name_read_order_0_f2_05_0,text,5,"[38.000,588.002,171.800,600.001]"
f2_06[0],topmostSubform[0].CopyC[0].Col_Left[0].LastName_ReadOrder[0].f2_06[0],copy_c_0_col_left_0_last_name_read_order_0_f2_06_0,text,5,"[173.800,588.002,308.600,600.001]"
f2_09[0],topmostSubform[0].CopyC[0].Col_Right[0].Box1_ReadOrder[0].f2_09[0],copy_c_0_col_right_0_box1_read_order_0_f2_09_0,text,5,"[333.200,708.001,451.600,720.000]"
f2_11[0],topmostSubform[0].CopyC[0].Col_Right[0].Box3_ReadOrder[0].f2_11[0],copy_c_0_col_right_0_box3_read_order_0_f2_11_0,text,5,"[332.200,684.000,452.600,695.999]"
f2_13[0],topmostSubform[0].CopyC[0].Col_Right[0].Box5_ReadOrder[0].f2_13[0],copy_c_0_col_right_0_box5_read_order_0_f2_13_0,text,5,"[332.200,660.002,452.600,672.001]"
f2_15[0],topmostSubform[0].CopyC[0].Col_Right[0].Box7_ReadOrder[0].f2_15[0],copy_c_0_col_right_0_box7_read_order_0_f2_15_0,text,5,"[332.200,636.001,452.600,648.000]"
f2_17[0],topmostSubform[0].CopyC[0].Col_Right[0].Box9_ReadOrder[0].f2_17[0],copy_c_0_col_right_0_box9_read_order_0_f2_17_0,text,5,"[332.200,612.000,452.600,623.999]"
f2_19[0],topmostSubform[0].CopyC[0].Col_Right[0].Box11__ReadOrder[0].f2_19[0],copy_c_0_col_right_0_box11_read_order_0_f2_19_0,text,5,"[332.200,588.002,452.600,600.001]"
f2_20[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_20[0],copy_c_0_col_right_0_box12_read_order_0_f2_20_0,text,5,"[462.800,588.002,488.600,600.001]"
f2_21[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_21[0],copy_c_0_col_right_0_box12_read_order_0_f2_21_0,text,5,"[490.600,588.002,574.000,600.001]"
f2_22[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_22[0],copy_c_0_col_right_0_box12_read_order_0_f2_22_0,text,5,"[462.800,564.001,488.600,576.000]"
f2_23[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_23[0],copy_c_0_col_right_0_box12_read_order_0_f2_23_0,text,5,"[490.600,564.001,574.000,576.000]"
f2_24[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_24[0],copy_c_0_col_right_0_box12_read_order_0_f2_24_0,text,5,"[462.800,540.000,488.600,551.999]"
f2_25[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_25[0],copy_c_0_col_right_0_box12_read_order_0_f2_25_0,text,5,"[490.600,540.000,574.000,551.999]"
f2_26[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_26[0],copy_c_0_col_right_0_box12_read_order_0_f2_26_0,text,5,"[462.800,516.002,488.600,528.001]"
f2_27[0],topmostSubform[0].CopyC[0].Col_Right[0].Box12_ReadOrder[0].f2_27[0],copy_c_0_col_right_0_box12_read_order_0_f2_27_0,text,5,"[490.600,516.002,574.000,528.001]"
c2_4[0],topmostSubform[0].CopyC[0].Col_Right[0].c2_4[0],copy_c_0_col_right_0_c2_4_0,checkbox,5,"[420.600,565.699,430.600,575.699]"
f2_10[0],topmostSubform[0].CopyC[0].Col_Right[0].f2_10[0],copy_c_0_col_right_0_f2_10_0,text,5,"[455.600,708.001,574.000,720.000]"
f2_12[0],topmostSubform[0].CopyC[0].Col_Right[0].f2_12[0],copy_c_0_col_right_0_f2_12_0,text,5,"[454.600,684.000,574.000,695.999]"
f2_14[0],topmostSubform[0].CopyC[0].Col_Right[0].f2_14[0],copy_c_0_col_right_0_f2_14_0,text,5,"[454.600,660.002,574.000,672.001]"
f2_16[0],topmostSubform[0].CopyC[0].Col_Right[0].f2_16[0],copy_c_0_col_right_0_f2_16_0,text,5,"[454.600,636.001,574.000,648.000]"
f2_18[0],topmostSubform[0].CopyC[0].Col_Right[0].f2_18[0],copy_c_0_col_right_0_f2_18_0,text,5,"[454.600,612.000,574.000,623.999]"
f2_28[0],topmostSubform[0].CopyC[0].Col_Right[0].f2_28[0],copy_c_0_col_right_0_f2_28_0,text,5,"[332.200,504.000,452.600,551.999]"
c2_3[0],topmostSubform[0].CopyC[0].Col_Right[0].Retirement_ReadOrder[0].c2_3[0],copy_c_0_col_right_0_retirement_read_order_0_c2_3_0,checkbox,5,"[384.600,565.699,394.600,575.699]"
c2_2[0],topmostSubform[0].CopyC[0].Col_Right[0].Statutory_ReadOrder[0].c2_2[0],copy_c_0_col_right_0_statutory_read_order_0_c2_2_0,checkbox,5,"[348.600,565.699,358.600,575.699]"
f2_41[0],topmostSubform[0].CopyC[0].f2_41[0],copy_c_0_f2_41_0,text,5,"[526.600,480.002,574.000,492.001]"
f2_42[0],topmostSubform[0].CopyC[0].f2_42[0],copy_c_0_f2_42_0,text,5,"[526.600,455.998,574.000,467.999]"
f2_33[0],topmostSubform[0].CopyD[0].Box16_ReadOrder[0].f2_33[0],copy_d_0_box16_read_order_0_f2_33_0,text,9,"[195.400,480.002,279.800,492.001]"
f2_34[0],topmostSubform[0].CopyD[0].Box16_ReadOrder[0].f2_34[0],copy_d_0_box16_read_order_0_f2_34_0,text,9,"[195.400,455.998,279.800,467.999]"
f2_35[0],topmostSubform[0].CopyD[0].Box17_ReadOrder[0].f2_35[0],copy_d_0_box17_read_order_0_f2_35_0,text,9,"[281.800,480.002,359.000,492.001]"
f2_36[0],topmostSubform[0].CopyD[0].Box17_ReadOrder[0].f2_36[0],copy_d_0_box17_read_order_0_f2_36_0,text,9,"[281.800,455.998,359.000,467.999]"
f2_37[0],topmostSubform[0].CopyD[0].Box18_ReadOrder[0].f2_37[0],copy_d_0_box18_read_order_0_f2_37_0,text,9,"[361.000,480.002,445.400,492.001]"
f2_38[0],topmostSubform[0].CopyD[0].Box18_ReadOrder[0].f2_38[0],copy_d_0_box18_read_order_0_f2_38_0,text,9,"[361.000,455.998,445.400,467.999]"
f2_39[0],topmostSubform[0].CopyD[0].Box19_ReadOrder[0].f2_39[0],copy_d_0_box19_read_order_0_f2_39_0,text,9,"[447.400,480.002,524.600,492.001]"
f2_40[0],topmostSubform[0].CopyD[0].Box19_ReadOrder[0].f2_40[0],copy_d_0_box19_read_order_0_f2_40_0,text,9,"[447.400,455.998,524.600,467.999]"
f2_01[0],topmostSubform[0].CopyD[0].BoxA_ReadOrder[0].f2_01[0],copy_d_0_box_a_read_order_0_f2_01_0,text,9,"[153.200,732.002,278.800,744.001]"
f2_29[0],topmostSubform[0].CopyD[0].Boxes15_ReadOrder[0].Box15_ReadOrder[0].f2_29[0],copy_d_0_boxes15_read_order_0_box15_read_order_0_f2_29_0,text,9,"[38.000,480.002,63.800,492.001]"
f2_30[0],topmostSubform[0].CopyD[0].Boxes15_ReadOrder[0].f2_30[0],copy_d_0_boxes15_read_order_0_f2_30_0,text,9,"[65.800,480.002,193.400,492.001]"
f2_31[0],topmostSubform[0].CopyD[0].Boxes15_ReadOrder[0].f2_31[0],copy_d_0_boxes15_read_order_0_f2_31_0,text,9,"[38.000,455.998,63.800,467.999]"
f2_32[0],topmostSubform[0].CopyD[0].Boxes15_ReadOrder[0].f2_32[0],copy_d_0_boxes15_read_order_0_f2_32_0,text,9,"[65.800,456.001,193.400,468.000]"
f2_02[0],topmostSubform[0].CopyD[0].Col_Left[0].f2_02[0],copy_d_0_col_left_0_f2_02_0,text,9,"[38.000,708.001,330.200,720.000]"
f2_03[0],topmostSubform[0].CopyD[0].Col_Left[0].f2_03[0],copy_d_0_col_left_0_f2_03_0,text,9,"[38.000,635.998,330.200,695.999]"
f2_04[0],topmostSubform[0].CopyD[0].Col_Left[0].f2_04[0],copy_d_0_col_left_0_f2_04_0,text,9,"[38.000,612.000,330.200,623.999]"
f2_07[0],topmostSubform[0].CopyD[0].Col_Left[0].f2_07[0],copy_d_0_col_left_0_f2_07_0,text,9,"[310.600,588.002,330.200,600.001]"
f2_08[0],topmostSubform[0].CopyD[0].Col_Left[0].f2_08[0],copy_d_0_col_left_0_f2_08_0,text,9,"[38.000,515.999,330.200,585.999]"
f2_05[0],topmostSubform[0].CopyD[0].Col_Left[0].FirstName_ReadOrder[0].f2_05[0],copy_d_0_col_left_0_first_name_read_order_0_f2_05_0,text,9,"[38.000,588.002,171.800,600.001]"
f2_06[0],topmostSubform[0].CopyD[0].Col_Left[0].LastName_ReadOrder[0].f2_06[0],copy_d_0_col_left_0_last_name_read_order_0_f2_06_0,text,9,"[173.800,588.002,308.600,600.001]"
f2_09[0],topmostSubform[0].CopyD[0].Col_Right[0].Box1_ReadOrder[0].f2_09[0],copy_d_0_col_right_0_box1_read_order_0_f2_09_0,text,9,"[333.200,708.001,451.600,720.000]"
f2_11[0],topmostSubform[0].CopyD[0].Col_Right[0].Box3_ReadOrder[0].f2_11[0],copy_d_0_col_right_0_box3_read_order_0_f2_11_0,text,9,"[332.200,684.000,452.600,695.999]"
f2_13[0],topmostSubform[0].CopyD[0].Col_Right[0].Box5_ReadOrder[0].f2_13[0],copy_d_0_col_right_0_box5_read_order_0_f2_13_0,text,9,"[332.200,660.002,452.600,672.001]"
f2_15[0],topmostSubform[0].CopyD[0].Col_Right[0].Box7_ReadOrder[0].f2_15[0],copy_d_0_col_right_0_box7_read_order_0_f2_15_0,text,9,"[332.200,636.001,452.600,648.000]"
f2_17[0],topmostSubform[0].CopyD[0].Col_Right[0].Box9_ReadOrder[0].f2_17[0],copy_d_0_col_right_0_box9_read_order_0_f2_17_0,text,9,"[332.200,612.000,452.600,623.999]"
f2_19[0],topmostSubform[0].CopyD[0].Col_Right[0].Box11__ReadOrder[0].f2_19[0],copy_d_0_col_right_0_box11_read_order_0_f2_19_0,text,9,"[332.200,588.002,452.600,600.001]"
f2_20[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_20[0],copy_d_0_col_right_0_box12_read_order_0_f2_20_0,text,9,"[462.800,588.002,488.600,600.001]"
f2_21[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_21[0],copy_d_0_col_right_0_box12_read_order_0_f2_21_0,text,9,"[490.600,588.002,574.000,600.001]"
f2_22[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_22[0],copy_d_0_col_right_0_box12_read_order_0_f2_22_0,text,9,"[462.800,564.001,488.600,576.000]"
f2_23[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_23[0],copy_d_0_col_right_0_box12_read_order_0_f2_23_0,text,9,"[490.600,564.001,574.000,576.000]"
f2_24[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_24[0],copy_d_0_col_right_0_box12_read_order_0_f2_24_0,text,9,"[462.800,540.000,488.600,551.999]"
f2_25[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_25[0],copy_d_0_col_right_0_box12_read_order_0_f2_25_0,text,9,"[490.600,540.000,574.000,551.999]"
f2_26[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_26[0],copy_d_0_col_right_0_box12_read_order_0_f2_26_0,text,9,"[462.800,516.002,488.600,528.001]"
f2_27[0],topmostSubform[0].CopyD[0].Col_Right[0].Box12_ReadOrder[0].f2_27[0],copy_d_0_col_right_0_box12_read_order_0_f2_27_0,text,9,"[490.600,516.002,574.000,528.001]"
c2_4[0],topmostSubform[0].CopyD[0].Col_Right[0].c2_4[0],copy_d_0_col_right_0_c2_4_0,checkbox,9,"[420.600,565.699,430.600,575.699]"
f2_10[0],topmostSubform[0].CopyD[0].Col_Right[0].f2_10[0],copy_d_0_col_right_0_f2_10_0,text,9,"[455.600,708.001,574.000,720.000]"
f2_12[0],topmostSubform[0].CopyD[0].Col_Right[0].f2_12[0],copy_d_0_col_right_0_f2_12_0,text,9,"[454.600,684.000,574.000,695.999]"
f2_14[0],topmostSubform[0].CopyD[0].Col_Right[0].f2_14[0],copy_d_0_col_right_0_f2_14_0,text,9,"[454.600,660.002,574.000,672.001]"
f2_16[0],topmostSubform[0].CopyD[0].Col_Right[0].f2_16[0],copy_d_0_col_right_0_f2_16_0,text,9,"[454.600,636.001,574.000,648.000]"
f2_18[0],topmostSubform[0].CopyD[0].Col_Right[0].f2_18[0],copy_d_0_col_right_0_f2_18_0,text,9,"[454.600,612.000,574.000,623.999]"
f2_28[0],topmostSubform[0].CopyD[0].Col_Right[0].f2_28[0],copy_d_0_col_right_0_f2_28_0,text,9,"[332.200,504.000,452.600,551.999]"
c2_3[0],topmostSubform[0].CopyD[0].Col_Right[0].Retirement_ReadOrder[0].c2_3[0],copy_d_0_col_right_0_retirement_read_order_0_c2_3_0,checkbox,9,"[384.600,565.699,394.600,575.699]"
c2_2[0],topmostSubform[0].CopyD[0].Col_Right[0].Statutory_ReadOrder[0].c2_2[0],copy_d_0_col_right_0_statutory_read_order_0_c2_2_0,checkbox,9,"[348.600,565.699,358.600,575.699]"
f2_41[0],topmostSubform[0].CopyD[0].f2_41[0],copy_d_0_f2_41_0,text,9,"[526.600,480.002,574.000,492.001]"
f2_42[0],topmostSubform[0].CopyD[0].f2_42[0],copy_d_0_f2_42_0,text,9,"[526.600,455.998,574.000,467.999]"
c2_1[0],topmostSubform[0].CopyD[0].Void_ReadOrder[0].c2_1[0],copy_d_0_void_read_order_0_c2_1_0,checkbox,9,"[132.481,739.999,142.481,749.999]"
